"User ID","Value","Gene Name","Species"
"PDE4B","","phosphodiesterase 4B(PDE4B)","Homo sapiens"
"PEAK1","","pseudopodium enriched atypical kinase 1(PEAK1)","Homo sapiens"
"PEBP1","","phosphatidylethanolamine binding protein 1(PEBP1)","Homo sapiens"
"PEG10","","paternally expressed 10(PEG10)","Homo sapiens"
"PGAM1","","phosphoglycerate mutase 1(PGAM1)","Homo sapiens"
"PGGHG","","protein-glucosylgalactosylhydroxylysine glucosidase(PGGHG)","Homo sapiens"
"PHLDA2","","pleckstrin homology like domain family A member 2(PHLDA2)","Homo sapiens"
"PIGR","","polymeric immunoglobulin receptor(PIGR)","Homo sapiens"
"PLA2G3","","phospholipase A2 group III(PLA2G3)","Homo sapiens"
"PLAT","","plasminogen activator, tissue type(PLAT)","Homo sapiens"
"PLPPR2","","phospholipid phosphatase related 2(PLPPR2)","Homo sapiens"
"PLXNA1","","plexin A1(PLXNA1)","Homo sapiens"
"PLXNA2","","plexin A2(PLXNA2)","Homo sapiens"
"POLR3D","","RNA polymerase III subunit D(POLR3D)","Homo sapiens"
"PPARA","","peroxisome proliferator activated receptor alpha(PPARA)","Homo sapiens"
"PPBP","","pro-platelet basic protein(PPBP)","Homo sapiens"
"PPM1H","","protein phosphatase, Mg2+/Mn2+ dependent 1H(PPM1H)","Homo sapiens"
"PPP1R1B","","protein phosphatase 1 regulatory inhibitor subunit 1B(PPP1R1B)","Homo sapiens"
"PRELID1","","PRELI domain containing 1(PRELID1)","Homo sapiens"
"PRICKLE4","","prickle planar cell polarity protein 4(PRICKLE4)","Homo sapiens"
"PRKAA2","","protein kinase AMP-activated catalytic subunit alpha 2(PRKAA2)","Homo sapiens"
"PRR29","","proline rich 29(PRR29)","Homo sapiens"
"PSEN1","","presenilin 1(PSEN1)","Homo sapiens"
"PTAFR","","platelet activating factor receptor(PTAFR)","Homo sapiens"
"PTCHD4","","patched domain containing 4(PTCHD4)","Homo sapiens"
"PTER","","phosphotriesterase related(PTER)","Homo sapiens"
"PTGDS","","prostaglandin D2 synthase(PTGDS)","Homo sapiens"
"PTGER2","","prostaglandin E receptor 2(PTGER2)","Homo sapiens"
"PTGFR","","prostaglandin F receptor(PTGFR)","Homo sapiens"
"PTGR3","","prostaglandin reductase 3(PTGR3)","Homo sapiens"
"PWP2","","PWP2 small subunit processome component(PWP2)","Homo sapiens"
"QSOX1","","quiescin sulfhydryl oxidase 1(QSOX1)","Homo sapiens"
"RAB11FIP1","","RAB11 family interacting protein 1(RAB11FIP1)","Homo sapiens"
"RAB3B","","RAB3B, member RAS oncogene family(RAB3B)","Homo sapiens"
"RAB5C","","RAB5C, member RAS oncogene family(RAB5C)","Homo sapiens"
"RAB8A","","RAB8A, member RAS oncogene family(RAB8A)","Homo sapiens"
"RABEP1","","rabaptin, RAB GTPase binding effector protein 1(RABEP1)","Homo sapiens"
"RAI1","","retinoic acid induced 1(RAI1)","Homo sapiens"
"RALYL","","RALY RNA binding protein like(RALYL)","Homo sapiens"
"RAMP1","","receptor activity modifying protein 1(RAMP1)","Homo sapiens"
"RANBP1","","RAN binding protein 1(RANBP1)","Homo sapiens"
"RANGRF","","RAN guanine nucleotide release factor(RANGRF)","Homo sapiens"
"RARRES2","","retinoic acid receptor responder 2(RARRES2)","Homo sapiens"
"RARS1","","arginyl-tRNA synthetase 1(RARS1)","Homo sapiens"
"RBM12","","RNA binding motif protein 12(RBM12)","Homo sapiens"
"RDH10","","retinol dehydrogenase 10(RDH10)","Homo sapiens"
"RETN","","resistin(RETN)","Homo sapiens"
"RGN","","regucalcin(RGN)","Homo sapiens"
"RHOC","","ras homolog family member C(RHOC)","Homo sapiens"
"RHPN2","","rhophilin Rho GTPase binding protein 2(RHPN2)","Homo sapiens"
"RILPL1","","Rab interacting lysosomal protein like 1(RILPL1)","Homo sapiens"
"RNASEK","","ribonuclease K(RNASEK)","Homo sapiens"
"RPS10","","ribosomal protein S10(RPS10)","Homo sapiens"
